code,title,slug,description,sector
CAR-100,Linguist & Cultural Specialist,linguist-cultural-specialist,"Professional path as a certified Linguist & Cultural Specialist specializing within the Humanities & Social Sciences sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Humanities & Social Sciences
CAR-101,IT Systems Administrator,it-systems-administrator,"Professional path as a certified IT Systems Administrator specializing within the Information Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Information Technology
CAR-102,Architect,architect,"Professional path as a certified Architect specializing within the Construction & Real Estate sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Construction & Real Estate
CAR-103,Quantity Surveyor,quantity-surveyor,"Professional path as a certified Quantity Surveyor specializing within the Construction & Real Estate sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Construction & Real Estate
CAR-104,Actuary,actuary,"Professional path as a certified Actuary specializing within the Finance & Insurance sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Finance & Insurance
CAR-105,Industrial Chemist,industrial-chemist,"Professional path as a certified Industrial Chemist specializing within the Sciences & Research sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Sciences & Research
CAR-106,Statistician / Quantitative Analyst,statistician-quantitative-analyst,"Professional path as a certified Statistician / Quantitative Analyst specializing within the Sciences & Research sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Sciences & Research
CAR-107,Biotechnologist / Research Scientist,biotechnologist-research-scientist,"Professional path as a certified Biotechnologist / Research Scientist specializing within the Sciences & Research sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Sciences & Research
CAR-108,Specialist in (Biological Sciences),specialist-in-biological-sciences,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-109,Computer Scientist,computer-scientist,"Professional path as a certified Computer Scientist specializing within the Information Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Information Technology
CAR-110,Civil Engineer,civil-engineer,"Professional path as a certified Civil Engineer specializing within the Engineering & Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Engineering & Technology
CAR-111,Electrical & Electronics Engineer,electrical-electronics-engineer,"Professional path as a certified Electrical & Electronics Engineer specializing within the Engineering & Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Engineering & Technology
CAR-112,Mechanical Engineer,mechanical-engineer,"Professional path as a certified Mechanical Engineer specializing within the Engineering & Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Engineering & Technology
CAR-113,Specialist in ,specialist-in,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-114,Specialist in (Bsc.),specialist-in-bsc,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-115,Specialist in Bsc (Science),specialist-in-bsc-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-117,Agricultural Officer / Agronomist,agricultural-officer-agronomist,"Professional path as a certified Agricultural Officer / Agronomist specializing within the Agriculture & Environment sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Agriculture & Environment
CAR-118,Specialist in (Biosystems Engineering),specialist-in-biosystems-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-119,Specialist in (Food Science & Technology),specialist-in-food-science-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-120,Specialist in (Food Science And Technology),specialist-in-food-science-and-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-122,Specialist in Technology (Food Science And Technology),specialist-in-technology-food-science-and-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-123,Pharmacist,pharmacist,"Professional path as a certified Pharmacist specializing within the Healthcare & Medical sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Healthcare & Medical
CAR-124,Medical Practitioner / Physician,medical-practitioner-physician,"Professional path as a certified Medical Practitioner / Physician specializing within the Healthcare & Medical sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Healthcare & Medical
CAR-125,Registered Nurse,registered-nurse,"Professional path as a certified Registered Nurse specializing within the Healthcare & Medical sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Healthcare & Medical
CAR-126,Business Development Executive,business-development-executive,"Professional path as a certified Business Development Executive specializing within the Business & Commerce sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Business & Commerce
CAR-127,Legal Counsel / Advocate,legal-counsel-advocate,"Professional path as a certified Legal Counsel / Advocate specializing within the Legal & Public Service sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Legal & Public Service
CAR-128,High School / College Educator,high-school-college-educator,"Professional path as a certified High School / College Educator specializing within the Education & Training sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Education & Training
CAR-129,Accountant / Auditor,accountant-auditor,"Professional path as a certified Accountant / Auditor specializing within the Finance & Insurance sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Finance & Insurance
CAR-130,Security & Criminology Expert,security-criminology-expert,"Professional path as a certified Security & Criminology Expert specializing within the Legal & Public Service sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Legal & Public Service
CAR-131,Social Worker / Psychologist,social-worker-psychologist,"Professional path as a certified Social Worker / Psychologist specializing within the Humanities & Social Sciences sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Humanities & Social Sciences
CAR-132,Economist,economist,"Professional path as a certified Economist specializing within the Finance & Insurance sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Finance & Insurance
CAR-133,Specialist in (Information Science),specialist-in-information-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-135,Specialist in Information Sciences,specialist-in-information-sciences,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-137,Hospitality & Tourism Manager,hospitality-tourism-manager,"Professional path as a certified Hospitality & Tourism Manager specializing within the Hospitality & Tourism sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Hospitality & Tourism
CAR-138,Specialist in Information Communication Technology,specialist-in-information-communication-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-139,Specialist in (Information And Communication Techno...,specialist-in-information-and-communication-techno,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-140,Specialist in Technology In Information & Communica...,specialist-in-technology-in-information-communica,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-141,Creative Arts & Film Director,creative-arts-film-director,"Professional path as a certified Creative Arts & Film Director specializing within the Media & Creative Arts sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Media & Creative Arts
CAR-142,Media & Public Relations Officer,media-public-relations-officer,"Professional path as a certified Media & Public Relations Officer specializing within the Media & Creative Arts sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Media & Creative Arts
CAR-143,Environmental Conservation Specialist,environmental-conservation-specialist,"Professional path as a certified Environmental Conservation Specialist specializing within the Agriculture & Environment sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Agriculture & Environment
CAR-144,Specialist in (Horticulture),specialist-in-horticulture,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
